2024-03-16 08:00:26 status half-installed gnupg:all 2.2.27-2+deb11u2
2024-03-16 08:00:26 status unpacked gnupg:all 2.2.27-2+deb11u2
2024-03-16 08:00:26 install libgpm2:amd64 <none> 1.20.7-8
2024-03-16 08:00:26 status half-installed libgpm2:amd64 1.20.7-8
2024-03-16 08:00:26 status unpacked libgpm2:amd64 1.20.7-8
2024-03-16 08:00:26 install libldap-common:all <none> 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 status half-installed libldap-common:all 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 status unpacked libldap-common:all 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 install libsasl2-modules:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status half-installed libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status unpacked libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 install publicsuffix:all <none> 20220811.1734-0+deb11u1
2024-03-16 08:00:26 status half-installed publicsuffix:all 20220811.1734-0+deb11u1
2024-03-16 08:00:26 status unpacked publicsuffix:all 20220811.1734-0+deb11u1
2024-03-16 08:00:26 startup packages configure
2024-03-16 08:00:26 configure libksba8:amd64 1.5.0-3+deb11u2 <none>
2024-03-16 08:00:26 status unpacked libksba8:amd64 1.5.0-3+deb11u2
2024-03-16 08:00:26 status half-configured libksba8:amd64 1.5.0-3+deb11u2
2024-03-16 08:00:26 status installed libksba8:amd64 1.5.0-3+deb11u2
2024-03-16 08:00:26 configure libpsl5:amd64 0.21.0-1.2 <none>
2024-03-16 08:00:26 status unpacked libpsl5:amd64 0.21.0-1.2
2024-03-16 08:00:26 status half-configured libpsl5:amd64 0.21.0-1.2
2024-03-16 08:00:26 status installed libpsl5:amd64 0.21.0-1.2
2024-03-16 08:00:26 configure libgpm2:amd64 1.20.7-8 <none>
2024-03-16 08:00:26 status unpacked libgpm2:amd64 1.20.7-8
2024-03-16 08:00:26 status half-configured libgpm2:amd64 1.20.7-8
2024-03-16 08:00:26 status installed libgpm2:amd64 1.20.7-8
2024-03-16 08:00:26 configure wget:amd64 1.21-1+deb11u1 <none>
2024-03-16 08:00:26 status unpacked wget:amd64 1.21-1+deb11u1
2024-03-16 08:00:26 status half-configured wget:amd64 1.21-1+deb11u1
2024-03-16 08:00:26 status installed wget:amd64 1.21-1+deb11u1
2024-03-16 08:00:26 configure apt-transport-https:all 2.2.4 <none>
2024-03-16 08:00:26 status unpacked apt-transport-https:all 2.2.4
2024-03-16 08:00:26 status half-configured apt-transport-https:all 2.2.4
2024-03-16 08:00:26 status installed apt-transport-https:all 2.2.4
2024-03-16 08:00:26 configure libsqlite3-0:amd64 3.34.1-3 <none>
2024-03-16 08:00:26 status unpacked libsqlite3-0:amd64 3.34.1-3
2024-03-16 08:00:26 status half-configured libsqlite3-0:amd64 3.34.1-3
2024-03-16 08:00:26 status installed libsqlite3-0:amd64 3.34.1-3
2024-03-16 08:00:26 configure libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2024-03-16 08:00:26 status unpacked libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status half-configured libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status installed libsasl2-modules:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 configure libnpth0:amd64 1.6-3 <none>
2024-03-16 08:00:26 status unpacked libnpth0:amd64 1.6-3
2024-03-16 08:00:26 status half-configured libnpth0:amd64 1.6-3
2024-03-16 08:00:26 status installed libnpth0:amd64 1.6-3
2024-03-16 08:00:26 configure libassuan0:amd64 2.5.3-7.1 <none>
2024-03-16 08:00:26 status unpacked libassuan0:amd64 2.5.3-7.1
2024-03-16 08:00:26 status half-configured libassuan0:amd64 2.5.3-7.1
2024-03-16 08:00:26 status installed libassuan0:amd64 2.5.3-7.1
2024-03-16 08:00:26 configure libldap-common:all 2.4.57+dfsg-3+deb11u1 <none>
2024-03-16 08:00:26 status unpacked libldap-common:all 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 status half-configured libldap-common:all 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 status installed libldap-common:all 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2024-03-16 08:00:26 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 configure gnupg-l10n:all 2.2.27-2+deb11u2 <none>
2024-03-16 08:00:26 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2024-03-16 08:00:26 status half-configured gnupg-l10n:all 2.2.27-2+deb11u2
2024-03-16 08:00:26 status installed gnupg-l10n:all 2.2.27-2+deb11u2
2024-03-16 08:00:26 configure libncursesw6:amd64 6.2+20201114-2+deb11u2 <none>
2024-03-16 08:00:26 status unpacked libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-03-16 08:00:26 status half-configured libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-03-16 08:00:26 status installed libncursesw6:amd64 6.2+20201114-2+deb11u2
2024-03-16 08:00:26 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2024-03-16 08:00:26 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-03-16 08:00:26 configure openssl:amd64 1.1.1w-0+deb11u1 <none>
2024-03-16 08:00:26 status unpacked openssl:amd64 1.1.1w-0+deb11u1
2024-03-16 08:00:26 status half-configured openssl:amd64 1.1.1w-0+deb11u1
2024-03-16 08:00:26 status installed openssl:amd64 1.1.1w-0+deb11u1
2024-03-16 08:00:26 configure readline-common:all 8.1-1 <none>
2024-03-16 08:00:26 status unpacked readline-common:all 8.1-1
2024-03-16 08:00:26 status half-configured readline-common:all 8.1-1
2024-03-16 08:00:26 status installed readline-common:all 8.1-1
2024-03-16 08:00:26 configure publicsuffix:all 20220811.1734-0+deb11u1 <none>
2024-03-16 08:00:26 status unpacked publicsuffix:all 20220811.1734-0+deb11u1
2024-03-16 08:00:26 status half-configured publicsuffix:all 20220811.1734-0+deb11u1
2024-03-16 08:00:26 status installed publicsuffix:all 20220811.1734-0+deb11u1
2024-03-16 08:00:26 configure pinentry-curses:amd64 1.1.0-4 <none>
2024-03-16 08:00:26 status unpacked pinentry-curses:amd64 1.1.0-4
2024-03-16 08:00:26 status half-configured pinentry-curses:amd64 1.1.0-4
2024-03-16 08:00:26 status installed pinentry-curses:amd64 1.1.0-4
2024-03-16 08:00:26 configure libreadline8:amd64 8.1-1 <none>
2024-03-16 08:00:26 status unpacked libreadline8:amd64 8.1-1
2024-03-16 08:00:26 status half-configured libreadline8:amd64 8.1-1
2024-03-16 08:00:26 status installed libreadline8:amd64 8.1-1
2024-03-16 08:00:26 configure libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
2024-03-16 08:00:26 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:26 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:27 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-03-16 08:00:27 configure ca-certificates:all 20210119 <none>
2024-03-16 08:00:27 status unpacked ca-certificates:all 20210119
2024-03-16 08:00:27 status half-configured ca-certificates:all 20210119
2024-03-16 08:00:28 status installed ca-certificates:all 20210119
2024-03-16 08:00:28 status triggers-pending ca-certificates:all 20210119
2024-03-16 08:00:28 configure gpgconf:amd64 2.2.27-2+deb11u2 <none>
2024-03-16 08:00:28 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:28 status half-configured gpgconf:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:28 status installed gpgconf:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 configure gpg:amd64 2.2.27-2+deb11u2 <none>
2024-03-16 08:00:29 status unpacked gpg:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 status half-configured gpg:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 status installed gpg:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 configure gnupg-utils:amd64 2.2.27-2+deb11u2 <none>
2024-03-16 08:00:29 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 status half-configured gnupg-utils:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 status installed gnupg-utils:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 configure gpg-agent:amd64 2.2.27-2+deb11u2 <none>
2024-03-16 08:00:29 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 status half-configured gpg-agent:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 status installed gpg-agent:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 configure gpgsm:amd64 2.2.27-2+deb11u2 <none>
2024-03-16 08:00:29 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 status half-configured gpgsm:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 status installed gpgsm:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 configure dirmngr:amd64 2.2.27-2+deb11u2 <none>
2024-03-16 08:00:29 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:29 status half-configured dirmngr:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:30 status installed dirmngr:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:30 configure gpg-wks-server:amd64 2.2.27-2+deb11u2 <none>
2024-03-16 08:00:30 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:30 status half-configured gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:30 status installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:30 configure gpg-wks-client:amd64 2.2.27-2+deb11u2 <none>
2024-03-16 08:00:30 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:30 status half-configured gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:30 status installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-03-16 08:00:30 configure gnupg:all 2.2.27-2+deb11u2 <none>
2024-03-16 08:00:30 status unpacked gnupg:all 2.2.27-2+deb11u2
2024-03-16 08:00:30 status half-configured gnupg:all 2.2.27-2+deb11u2
2024-03-16 08:00:30 status installed gnupg:all 2.2.27-2+deb11u2
2024-03-16 08:00:30 trigproc libc-bin:amd64 2.31-13+deb11u8 <none>
2024-03-16 08:00:30 status half-configured libc-bin:amd64 2.31-13+deb11u8
2024-03-16 08:00:30 status installed libc-bin:amd64 2.31-13+deb11u8
2024-03-16 08:00:30 trigproc ca-certificates:all 20210119 <none>
2024-03-16 08:00:30 status half-configured ca-certificates:all 20210119
2024-03-16 08:00:31 status installed ca-certificates:all 20210119
2024-03-16 08:00:41 startup archives unpack
2024-03-16 08:00:41 install sensible-utils:all <none> 0.0.14
2024-03-16 08:00:41 status half-installed sensible-utils:all 0.0.14
2024-03-16 08:00:41 status unpacked sensible-utils:all 0.0.14
2024-03-16 08:00:41 install cron:amd64 <none> 3.0pl1-137
2024-03-16 08:00:41 status half-installed cron:amd64 3.0pl1-137
2024-03-16 08:00:41 status unpacked cron:amd64 3.0pl1-137
2024-03-16 08:00:41 install libestr0:amd64 <none> 0.1.10-2.1+b1
2024-03-16 08:00:41 status triggers-pending libc-bin:amd64 2.31-13+deb11u8
2024-03-16 08:00:41 status half-installed libestr0:amd64 0.1.10-2.1+b1
2024-03-16 08:00:41 status unpacked libestr0:amd64 0.1.10-2.1+b1
2024-03-16 08:00:41 install libfastjson4:amd64 <none> 0.99.9-1
2024-03-16 08:00:41 status half-installed libfastjson4:amd64 0.99.9-1
2024-03-16 08:00:41 status unpacked libfastjson4:amd64 0.99.9-1
2024-03-16 08:00:41 install liblognorm5:amd64 <none> 2.0.5-1.1
2024-03-16 08:00:41 status half-installed liblognorm5:amd64 2.0.5-1.1
2024-03-16 08:00:41 status unpacked liblognorm5:amd64 2.0.5-1.1
2024-03-16 08:00:41 install rsyslog:amd64 <none> 8.2102.0-2+deb11u1
2024-03-16 08:00:41 status half-installed rsyslog:amd64 8.2102.0-2+deb11u1
2024-03-16 08:00:41 status unpacked rsyslog:amd64 8.2102.0-2+deb11u1
2024-03-16 08:00:41 install libpopt0:amd64 <none> 1.18-2
2024-03-16 08:00:41 status half-installed libpopt0:amd64 1.18-2
2024-03-16 08:00:41 status unpacked libpopt0:amd64 1.18-2
2024-03-16 08:00:41 install logrotate:amd64 <none> 3.18.0-2+deb11u2
2024-03-16 08:00:41 status half-installed logrotate:amd64 3.18.0-2+deb11u2
2024-03-16 08:00:41 status unpacked logrotate:amd64 3.18.0-2+deb11u2
2024-03-16 08:00:41 install nano:amd64 <none> 5.4-2+deb11u2
2024-03-16 08:00:41 status half-installed nano:amd64 5.4-2+deb11u2
2024-03-16 08:00:41 status unpacked nano:amd64 5.4-2+deb11u2
2024-03-16 08:00:41 install libncurses6:amd64 <none> 6.2+20201114-2+deb11u2
2024-03-16 08:00:41 status half-installed libncurses6:amd64 6.2+20201114-2+deb11u2
2024-03-16 08:00:41 status unpacked libncurses6:amd64 6.2+20201114-2+deb11u2
2024-03-16 08:00:41 install libprocps8:amd64 <none> 2:3.3.17-5
2024-03-16 08:00:41 status half-installed libprocps8:amd64 2:3.3.17-5
2024-03-16 08:00:41 status unpacked libprocps8:amd64 2:3.3.17-5
2024-03-16 08:00:41 install procps:amd64 <none> 2:3.3.17-5
2024-03-16 08:00:41 status half-installed procps:amd64 2:3.3.17-5
2024-03-16 08:00:42 status unpacked procps:amd64 2:3.3.17-5
2024-03-16 08:00:42 install libc-l10n:all <none> 2.31-13+deb11u8
2024-03-16 08:00:42 status half-installed libc-l10n:all 2.31-13+deb11u8
2024-03-16 08:00:42 status unpacked libc-l10n:all 2.31-13+deb11u8
2024-03-16 08:00:42 install locales:all <none> 2.31-13+deb11u8
2024-03-16 08:00:42 status half-installed locales:all 2.31-13+deb11u8
2024-03-16 08:00:42 status unpacked locales:all 2.31-13+deb11u8
2024-03-16 08:00:43 install ucf:all <none> 3.0043
2024-03-16 08:00:43 status half-installed ucf:all 3.0043
2024-03-16 08:00:43 status unpacked ucf:all 3.0043
2024-03-16 08:00:43 install clamav-base:all <none> 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:43 status half-installed clamav-base:all 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:43 status unpacked clamav-base:all 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:43 install libbrotli1:amd64 <none> 1.0.9-2+b2
2024-03-16 08:00:43 status half-installed libbrotli1:amd64 1.0.9-2+b2
2024-03-16 08:00:43 status unpacked libbrotli1:amd64 1.0.9-2+b2
2024-03-16 08:00:43 install libnghttp2-14:amd64 <none> 1.43.0-1+deb11u1
2024-03-16 08:00:43 status half-installed libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-03-16 08:00:43 status unpacked libnghttp2-14:amd64 1.43.0-1+deb11u1
2024-03-16 08:00:43 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2024-03-16 08:00:43 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-03-16 08:00:43 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-03-16 08:00:43 install libssh2-1:amd64 <none> 1.9.0-2
2024-03-16 08:00:43 status half-installed libssh2-1:amd64 1.9.0-2
2024-03-16 08:00:43 status unpacked libssh2-1:amd64 1.9.0-2
2024-03-16 08:00:43 install libcurl4:amd64 <none> 7.74.0-1.3+deb11u11
2024-03-16 08:00:43 status half-installed libcurl4:amd64 7.74.0-1.3+deb11u11
2024-03-16 08:00:43 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u11
2024-03-16 08:00:43 install libjson-c5:amd64 <none> 0.15-2+deb11u1
2024-03-16 08:00:43 status half-installed libjson-c5:amd64 0.15-2+deb11u1
2024-03-16 08:00:43 status unpacked libjson-c5:amd64 0.15-2+deb11u1
2024-03-16 08:00:43 install libltdl7:amd64 <none> 2.4.6-15
2024-03-16 08:00:43 status half-installed libltdl7:amd64 2.4.6-15
2024-03-16 08:00:43 status unpacked libltdl7:amd64 2.4.6-15
2024-03-16 08:00:43 install libmspack0:amd64 <none> 0.10.1-2
2024-03-16 08:00:43 status half-installed libmspack0:amd64 0.10.1-2
2024-03-16 08:00:43 status unpacked libmspack0:amd64 0.10.1-2
2024-03-16 08:00:43 install libtfm1:amd64 <none> 0.13-4
2024-03-16 08:00:43 status half-installed libtfm1:amd64 0.13-4
2024-03-16 08:00:43 status unpacked libtfm1:amd64 0.13-4
2024-03-16 08:00:43 install libicu67:amd64 <none> 67.1-7
2024-03-16 08:00:43 status half-installed libicu67:amd64 67.1-7
2024-03-16 08:00:44 status unpacked libicu67:amd64 67.1-7
2024-03-16 08:00:44 install libxml2:amd64 <none> 2.9.10+dfsg-6.7+deb11u4
2024-03-16 08:00:44 status half-installed libxml2:amd64 2.9.10+dfsg-6.7+deb11u4
2024-03-16 08:00:45 status unpacked libxml2:amd64 2.9.10+dfsg-6.7+deb11u4
2024-03-16 08:00:45 install libclamav9:amd64 <none> 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:45 status half-installed libclamav9:amd64 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:45 status unpacked libclamav9:amd64 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:45 install clamav-freshclam:amd64 <none> 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:45 status half-installed clamav-freshclam:amd64 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:45 status unpacked clamav-freshclam:amd64 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:45 install clamav-daemon:amd64 <none> 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:45 status half-installed clamav-daemon:amd64 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:45 status unpacked clamav-daemon:amd64 0.103.10+dfsg-0+deb11u1
2024-03-16 08:00:45 install libarchive13:amd64 <none> 3.4.3-2+deb11u1
2024-03-16 08:00:45 status half-installed libarchive13:amd64 3.4.3-2+deb11u1
2024-03-16 08:00:45 status unpacked libarchive13:amd64 3.4.3-2+deb11u1
2024-03-16 08:00:45 install libarchive-tools:amd64 <none> 3.4.3-2+deb11u1
2024-03-16 08:00:45 status half-installed libarchive-tools:amd64 3.4.3-2+deb11u1
2024-03-16 08:00:45 status unpacked libarchive-tools:amd64 3.4.3-2+deb11u1
2024-03-16 08:00:45 install patch:amd64 <none> 2.7.6-7
2024-03-16 08:00:45 status half-installed patch:amd64 2.7.6-7
2024-03-16 08:00:45 status unpacked patch:amd64 2.7.6-7
2024-03-16 08:00:45 startup packages configure
2024-03-16 08:00:45 configure libc-l10n:all 2.31-13+deb11u8 <none>
2024-03-16 08:00:45 status unpacked libc-l10n:all 2.31-13+deb11u8
2024-03-16 08:00:45 status half-configured libc-l10n:all 2.31-13+deb11u8
2024-03-16 08:00:45 status installed libc-l10n:all 2.31-13+deb11u8
2024-03-16 08:00:45 configure libicu67:amd64 67.1-7 <none>
2024-03-16 08:00:45 status unpacked libicu67:amd64 67.1-7
2024-03-16 08:00:45 status half-configured libicu67:amd64 67.1-7
2024-03-16 08:00:45 status installed libicu67:amd64 67.1-7
2024-03-16 08:00:45 configure libestr0:amd64 0.1.10-2.1+b1 <none>
2024-03-16 08:00:45 status unpacked libestr0:amd64 0.1.10-2.1+b1
2024-03-16 08:00:45 status half-configured libestr0:amd64 0.1.10-2.1+b1
2024-03-16 08:00:45 status installed libestr0:amd64 0.1.10-2.1+b1
2024-03-16 08:00:45 configure libfastjson4:amd64 0.99.9-1 <none>
2024-03-16 08:00:45 status unpacked libfastjson4:amd64 0.99.9-1
2024-03-16 08:00:45 status half-configured libfastjson4:amd64 0.99.9-1
2024-03-16 08:00:45 status installed libfastjson4:amd64 0.99.9-1
2024-03-16 08:00:45 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2024-03-16 08:00:45 status unpacked libbrotli1:amd64 1.0.9-2+b2
2024-03-16 08:00:45 status half-configured libbrotli1:amd64 1.0.9-2+b2
2024-03-16 08:00:45 status installed libbrotli1:amd64 1.0.9-2+b2
2024-03-16 08:00:45 configure libmspack0:amd64 0.10.1-2 <none>
2024-03-16 08:00:45 status unpacked libmspack0:amd64 0.10.1-2
2024-03-16 08:00:45 status half-configured libmspack0:amd64 0.10.1-2
2024-03-16 08:00:45 status installed libmspack0:amd64 0.10.1-2
2024-03-16 08:00:45 configure libtfm1:amd64 0.13-4 <none>
2024-03-16 08:00:45 status unpacked libtfm1:amd64 0.13-4
